City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,01-01-2015,153.3,241.7,182.9,33,81.3,38.5,1.87,64.5,83.6,18.93,20.81,8.32,204.5,Severe
Mumbai,01-01-2015,70.5,312.7,195,42,122.5,31.5,7.22,83.8,108,2.01,19.41,2.86,60.9,Satisfactory
Chennai,01-01-2015,174.1,275.4,56.2,68.8,230.9,28.5,8.56,60.8,43.9,19.07,10.19,9.63,486.5,Severe
Kolkata,01-01-2015,477.2,543.9,14.1,76.4,225.9,45.6,2.41,42.1,171.1,9.31,11.65,9.39,174.4,Very Poor
Bangalore,01-01-2015,171.6,117.7,123.3,12.4,61.9,49.7,1.26,79.7,164.3,6.04,12.74,9.59,489.7,Good
Delhi,02-01-2015,344.2,173.2,179.8,128.4,156.1,15.6,6.28,7.5,9.4,0.55,15.6,2.45,238.5,Satisfactory
Mumbai,02-01-2015,59.2,335.7,182.1,143.8,207.3,44.8,5.81,6.4,145.5,7.99,29.18,7.11,254.9,Good
Chennai,02-01-2015,418.9,573.8,23.8,17.5,43,22.5,4.49,9.5,198.7,1.89,17.93,2.91,171.7,Satisfactory
Kolkata,02-01-2015,329.8,599.3,139.1,34,75.2,24.1,3.63,63.4,111.2,8.95,28.51,1.88,139.8,Very Poor
Bangalore,02-01-2015,22.5,317.5,163,62.4,130.9,46.7,0,59.7,49.8,16.31,7.77,5.83,243.3,Moderate
Delhi,03-01-2015,473.9,20.1,12.7,102.7,244.7,42.5,0.04,29.8,42,1.87,15.11,2.41,77.6,Satisfactory
Mumbai,03-01-2015,191,200.5,21.5,141.3,235.8,8.6,8.54,89,129.8,10.37,4.99,8.19,37.9,Poor
Chennai,03-01-2015,86.6,531.8,99.1,92.8,62.4,49.8,1.12,9.9,45.5,4.02,1.55,7.48,394.8,Moderate
Kolkata,03-01-2015,393,422.5,28.9,112.1,149.9,40.6,5.72,3.7,60.8,2.02,16.7,0.47,491.8,Severe
Bangalore,03-01-2015,269.3,69.9,195.5,107.3,232,36.4,7.44,12.8,119.4,16.97,19.69,8.6,148.5,Severe
Delhi,04-01-2015,32.4,414.8,198.1,25.6,218.2,13.2,2.47,50.4,80.2,7.7,12.46,0.57,85.4,Satisfactory
Mumbai,04-01-2015,177.3,30.8,164.9,149.3,83.5,37.4,8.63,30.7,75.7,3.54,16.2,6.57,78.5,Severe
Chennai,04-01-2015,417,361.9,118.5,145.1,120.8,28.9,6.22,11.4,14.4,5.14,22.78,7.81,286.1,Good
Kolkata,04-01-2015,392,70.4,33.6,127.9,11.8,6.7,5.02,51.4,105.6,4.25,23.96,4.65,119.5,Severe
Bangalore,04-01-2015,56.1,295.7,121,146.1,53.7,39.8,6.47,59.1,109.1,9.4,6.11,9.56,423.3,Satisfactory
Delhi,05-01-2015,312.8,155.8,143.1,106.8,6.1,4.9,4.04,2,101.3,13.41,1.66,4.46,396.8,Poor
Mumbai,05-01-2015,335.4,582.7,144.2,37.2,130.3,22.9,6.83,91.6,30.9,8.89,8.25,3.77,30.7,Very Poor
Chennai,05-01-2015,123.3,126,137.4,140.7,214.5,20.8,9.55,68.7,166.5,14.66,21.22,6.71,108.8,Good
Kolkata,05-01-2015,298.2,515,86.7,101.8,156.6,35.3,4.17,19.4,197.7,3.23,19.19,1.9,473.1,Moderate
Bangalore,05-01-2015,263.8,321.1,21.4,40.5,48,0.6,7.3,56.2,14.2,2.78,13.53,9.62,119.5,Satisfactory
Delhi,06-01-2015,390.7,91.4,170.3,131.8,83.5,46,1.17,84.1,177.5,1.81,9.02,9.85,360.3,Moderate
Mumbai,06-01-2015,162.6,202.8,35.6,49.4,58,9.5,9.6,23.7,60.1,11.19,29.38,8.24,496.9,Satisfactory
Chennai,06-01-2015,179.9,275.3,136.4,13.9,118.3,21.8,7.44,98,148,3.64,1.02,5.34,387.9,Good
